CONTRACT_ID|PLAN_ID|FORMULARY_ID|RXCUI|CONTRACT_YEAR
H0074|001|00022439|1000001|2022
H0074|001|00022439|1299896|2022
H0074|001|00022439|1299897|2022
H0074|001|00022439|153822|2022
H0074|001|00022439|153823|2022
H0074|001|00022439|197884|2022
H0074|001|00022439|197885|2022
H0074|001|00022439|197886|2022
H0074|001|00022439|197887|2022
H0074|001|00022439|197903|2022
H0074|001|00022439|197904|2022
H0074|001|00022439|197905|2022
H0074|001|00022439|198188|2022
H0074|001|00022439|198189|2022
H0074|001|00022439|198211|2022
H0074|001|00022439|199149|2022
H0074|001|00022439|199150|2022
H0074|001|00022439|199245|2022
H0074|001|00022439|199246|2022
H0074|001|00022439|199247|2022
H0074|001|00022439|199351|2022
H0074|001|00022439|199352|2022
H0074|001|00022439|199353|2022
H0074|001|00022439|200094|2022
H0074|001|00022439|200095|2022
H0074|001|00022439|200096|2022
H0074|001|00022439|200132|2022
H0074|001|00022439|200256|2022
H0074|001|00022439|200257|2022
H0074|001|00022439|200258|2022
H0074|001|00022439|200284|2022
H0074|001|00022439|200285|2022
H0074|001|00022439|200345|2022
H0074|001|00022439|205304|2022
H0074|001|00022439|205305|2022
H0074|001|00022439|205326|2022
H0074|001|00022439|259255|2022
H0074|001|00022439|261962|2022
H0074|001|00022439|282755|2022
H0074|001|00022439|283316|2022
H0074|001|00022439|283317|2022
H0074|001|00022439|308962|2022
H0074|001|00022439|308963|2022
H0074|001|00022439|308964|2022
H0074|001|00022439|310404|2022
H0074|001|00022439|310405|2022
H0074|001|00022439|310488|2022
H0074|001|00022439|310489|2022
H0074|001|00022439|310490|2022
H0074|001|00022439|310792|2022
H0074|001|00022439|310793|2022
H0074|001|00022439|310796|2022
H0074|001|00022439|310797|2022
H0074|001|00022439|310809|2022
H0074|001|00022439|311353|2022
H0074|001|00022439|311354|2022
H0074|001|00022439|311919|2022
H0074|001|00022439|312440|2022
H0074|001|00022439|312441|2022
H0074|001|00022439|312748|2022
H0074|001|00022439|312749|2022
H0074|001|00022439|312750|2022
H0074|001|00022439|312961|2022
H0074|001|00022439|312962|2022
H0074|001|00022439|314006|2022
